,
Key,Chinese,English
Red,红色,Red
Pink,粉色,Pink
Purple,紫色,Purple
DeepPurple,深紫色,Deep Purple
Indigo,靛蓝色,Indigo
Blue,蓝色,Blue
LightBlue,浅蓝色,Light Blue
Cyan,青色,Cyan
Teal,蓝绿色,Teal
Green,绿色,Green
LightGreen,浅绿色,Light Green
Lime,酸橙色,Lime
Yellow,黄色,Yellow
Amber,琥珀色,Amber
Orange,橙色,Orange
DeepOrange,深橙色,Deep Orange
Brown,棕色,Brown
Grey,灰色,Grey
BlueGrey,蓝灰色,Blue Grey
Light,亮色,Light
Dark,暗色,Dark
FollowSystem,跟随系统,Follow System
Angle,角,Angle
Unmovable,无法移动,Unmovable
Circle,圆,Circle
CsGrafeq,几何画板,CsGrafeq
Delete,删除,Delete
DeselectAll,取消全选,Deselect All
Function,函数,Function
HalfLine,射线,Half
Language,语言,Language
Point,点,Point
Polygon,多边形,Polygon
Redo,重做,Redo
Segment,线段,Segment
SelectAll,全选,Select All
Setting,设置,Setting
Straight,直线,Straight
Theme,主题,Theme
Undo,撤销,Undo
ZoomIn,放大,Zoom In
ZoomOut,缩小,Zoom Out
CantBeMoved,控制,Controlled
MoveOp,移动优化,Moving Optimization
ZoomOp,缩放优化,Zooming Optimization
On,位于,On
Color,颜色,Color
PerpendicularBisector,垂直平分线,PerpendicularBisector
AngleBisector,角平分线,AngleBisector
ParallelLine,平行线,Parallel
VerticalLine,垂直线,Vertical
Fitted,拟合,Fitted
Null,Null,Null
AxialSymmetry,轴对称点,AxialSymmetry
Apollonius,阿氏圆,Apollonius
Nearest,最近点,Nearest
StartPoint,起点,Start
EndPoint,终点,End
MiddlePoint,中点,MiddlePoint
Orthocenter,垂心,Orthocenter
Circumcenter,外心,Circumcenter
Incenter,内心,Incenter
Centroid,重心,Centroid
Intersect,交点,Intersect
NearestPoint,最近点,NearestPoint
Radius,半径,Radius
Ratio,比率,Ratio
Line,线,Line
ImplicitFunction,隐函数,Implicit Function
CircleCenter,圆心,Center
ExpSimplification,表达式优化,Expression Simplification
Save,保存,Save
OpenGithub,打开 Github 页面,Open Github Site
Description,关于,Description
Usage,使用方法,Usage
General,全局,General
ShowKeyboard,显示屏幕键盘,Show Keyboard
Graph,图表,Graph
GeometricPad,几何画板,Geometric Pad
